timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.landing_gear,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.landing_gear,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.landing_gear,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force
656632000,0,47.39775115180844,8.54560689999306,0.0,0.0,0.0,0.0,0.0,0.0,488.0149,0.42144406,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,1,0,0,1,0,0,0,47.3977511791702,8.545605712099366,0.0,0.0,0.0,0.0,0.0,0.0,498.0149,0.3910393,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,3,0,0,0,0,1,0,0,-1,0,0,0,47.39753341674805,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.0149,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
666988000,0,47.3977511791702,8.545605712099366,0.0,0.0,0.0,0.0,0.0,0.0,498.0149,0.3910393,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,3,0,0,0,0,1,0,0,-1,0,0,0,47.39753341674805,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39762496948242,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
680484000,0,47.3977511791702,8.545605712099366,0.0,0.0,0.0,0.0,0.0,0.0,498.0149,0.3910393,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,3,0,0,0,0,1,0,0,-1,0,0,0,47.39753341674805,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39762496948242,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
680540000,0,47.39753341674805,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39762496948242,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39762496948242,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
688884000,0,47.39753341674805,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39762496948242,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39762496948242,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
689000000,0,47.39762496948242,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.3977165222168,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39798355102539,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
696332000,0,47.3977165222168,8.545199394226074,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.39798355102539,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397891998291016,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
707476000,0,47.39798355102539,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397891998291016,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397613525390625,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
715208000,0,47.39798355102539,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397891998291016,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397613525390625,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
715260000,0,47.397891998291016,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397613525390625,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,0,47.397525787353516,8.545282363891602,0.0,0.0,0.0,0.0,0.0,0.0,498.1013,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0
