timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
657300000,0,47.3977508,8.5456074,0.011119493,-0.06774155,0.72598267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109585,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
657400000,0,47.3977508,8.5456074,0.011119493,-0.06774155,0.72598267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41095847,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
657500000,0,47.3977508,8.5456074,0.011119493,-0.06774155,0.72598267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41095847,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
657600000,0,47.3977508,8.5456074,0.011119493,-0.06774155,0.72598267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109587,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
657700000,0,47.3977508,8.5456074,0.011119493,-0.06774155,0.72198486,0.0,0.0,0.0,0.0,0.0,-0.089999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4110493,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
657800000,0,47.3977508,8.5456074,0.011119493,-0.06774155,0.70098877,0.0,0.0,0.0,0.0,0.02,-0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41105777,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
657900000,0,47.3977508,8.5456074,0.011119493,-0.06774155,0.6539917,0.0,0.0,0.0,-0.01,0.04,-0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41109073,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
657996000,0,47.3977508,8.5456074,0.011119493,-0.06021471,0.5780029,0.0,0.0,0.0,-0.01,0.06,-0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41116792,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
658100000,0,47.3977508,8.5456074,0.011119493,-0.052687872,0.46298218,0.0,0.0,0.0,-0.01,0.06,-1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41122517,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
658200000,0,47.3977508,8.5456074,0.011119493,-0.04516103,0.31100464,0.0,0.0,0.0,0.0,0.06,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41123667,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
658300000,0,47.3977508,8.5456074,0.011119493,-0.037634194,0.15298462,0.0,0.0,0.0,0.0,0.06,-1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41123137,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
658400000,0,47.3977508,8.5456074,0.011119493,-0.030107355,-0.041015625,0.0,0.0,0.0,0.0,0.06,-1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41124147,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
658500000,0,47.3977508,8.5456074,0.011119493,-0.022580516,-0.22399902,0.0,0.0,0.0,0.0,0.06,-1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4112912,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
658600000,0,47.3977508,8.5456074,0.011119493,-0.022580516,-0.40200806,0.0,0.0,0.0,0.0,0.049999997,-1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4113507,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
658700000,0,47.3977508,8.5456074,0.011119493,-0.015053677,-0.57199097,0.0,0.0,0.0,0.0,0.049999997,-1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41141757,488.83002,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1,1,1,1,0,0,0,0,1,1,0
