timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
3252000,0,0.0,0.0,0.011962555,-0.0008487103,-0.070925444,-1.1896361e-06,-2.2014865e-06,0.0,0.03757361,-0.00074823084,-0.14497232,-0.13587725,-0.00029740902,-0.0005503716,0.0,0.08068984,0.05588178,-0.1575062,0.4090157,0.0,0.1301159,0.14497232,0.22697815,0.43752658,0.44389042,0.652439,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3348000,0,0.0,0.0,0.014238707,-0.0005828884,-0.078260794,-1.1896361e-06,-2.2014865e-06,0.0,0.04269926,0.00038866387,-0.15345629,-0.13826153,-0.00029740902,-0.0005503716,0.0,0.10329316,-0.065151244,-0.12730154,0.40903643,0.0,0.13965337,0.15345629,0.20815009,0.42906383,0.38755122,0.61998653,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3452000,0,0.0,0.0,0.016876392,-0.00030591406,-0.08504472,-1.1896361e-06,-2.2014865e-06,0.0,0.04743521,0.0010890727,-0.15754382,-0.13493025,-0.00029740902,-0.0005503716,0.0,0.10440643,-0.029033827,-0.13185571,0.40893227,0.0,0.15129349,0.15754382,0.20405954,0.43434602,0.36102733,0.5947366,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3548000,0,0.0,0.0,0.019505763,-8.299622e-05,-0.089025036,-1.1896361e-06,-2.2014865e-06,0.0,0.052697062,0.0012485749,-0.15869841,-0.12785044,-0.00029740902,-0.0005503716,0.0,0.13497849,0.011310679,-0.10900385,0.40883628,0.0,0.1578142,0.15869841,0.19830972,0.43519574,0.34258217,0.56877077,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3652000,0,0.0,0.0,0.022547698,0.00015175913,-0.09172207,-1.1896361e-06,-2.2014865e-06,0.0,0.05960143,0.0010318125,-0.1589827,-0.11916575,-0.00029740902,-0.0005503716,0.0,0.068068475,-0.010347233,-0.12740213,0.4089345,0.0,0.1555091,0.1589827,0.18878867,0.42856312,0.32637188,0.53643715,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3748000,0,0.0,0.0,0.025640247,0.00027766268,-0.09432276,-1.1896361e-06,-2.2014865e-06,0.0,0.064862296,0.0008133591,-0.16328804,-0.11635854,-0.00029740902,-0.0005503716,0.0,0.067398615,0.030888053,-0.15559791,0.40913507,0.0,0.15106589,0.16328804,0.1857032,0.42790008,0.32223764,0.5127639,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3852000,0,0.0,0.0,0.029046474,0.00041809303,-0.097377144,-1.1896361e-06,-2.2014865e-06,0.0,0.06921063,0.0007358439,-0.16534881,-0.111790165,-0.00029740902,-0.0005503716,0.0,0.06757796,-0.030112,-0.19370577,0.4090548,0.0,0.15297687,0.16534881,0.1853267,0.4294633,0.32398275,0.4911206,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
3948000,0,0.0,0.0,0.032147523,0.00050491805,-0.09923689,-1.1896361e-06,-2.2014865e-06,0.0,0.07480794,0.0017429106,-0.16726427,-0.10719014,-0.00029740902,-0.0005503716,0.0,0.15069234,0.001870525,-0.11825468,0.40885937,0.0,0.15607785,0.16726427,0.18409517,0.42742208,0.32660252,0.47094578,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4055999,0,0.0,0.0,0.035932127,0.00072521175,-0.10487362,-1.1896361e-06,-2.2014865e-06,0.0,0.08185368,0.002999841,-0.17108352,-0.107651934,-0.00029740902,-0.0005503716,0.0,0.12601593,0.1164463,-0.070195496,0.40857154,0.0,0.14587536,0.17108352,0.17955707,0.41833273,0.32663366,0.44673672,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4159999,0,0.0,0.0,0.039525844,0.0009938746,-0.11090487,-1.1896361e-06,-2.2014865e-06,0.0,0.08720276,0.0032797307,-0.1768393,-0.11074157,-0.00029740902,-0.0005503716,0.0,0.1702166,0.09546697,-0.16754676,0.4082374,0.0,0.15357172,0.1768393,0.18166287,0.41816157,0.33335835,0.4312976,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
4256000,0,0.0,0.0,0.04277886,0.0012683873,-0.11182118,-1.1896361e-06,-2.2014865e-06,0.0,0.093280934,0.003966231,-0.17727078,-0.104065016,-0.00029740902,-0.0005503716,0.0,0.07522336,-0.015881784,-0.17101875,0.40802422,0.0,0.15889657,0.17727078,0.18348333,0.416413,0.3383268,0.4171588,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
