timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
1988000,0.0,0.0,0.41114545,0.0,0.97894424,0.0,0.0,0.20412786,0.0,0.0,-0.08,1,0,0,0,0,0
2088000,0.0,0.0,0.41106832,0.0,0.9789521,0.0,0.0,0.2040901,0.0,0.0,-0.08,1,0,0,0,0,0
2192000,0.0,0.0,0.41097763,0.0,0.97896135,0.0,0.0,0.20404571,0.0,0.0,-0.08,1,0,0,0,0,0
2292000,0.0,0.0,0.4107848,0.0,0.978981,0.0,0.0,0.20395133,0.0,0.0,-0.08,1,0,0,0,0,0
2388000,0.0,0.0,0.4108143,0.0,0.97897804,0.0,0.0,0.20396575,0.0,0.0,-0.08,1,0,0,0,0,0
2492000,0.0,0.0,0.4112392,0.0,0.97893465,0.0,0.0,0.20417374,0.0,0.0,-0.08,1,0,0,0,0,0
2588000,0.0,0.0,0.4115984,0.0,0.978898,0.0,0.0,0.20434956,0.0,0.0,-0.08,1,0,0,0,0,0
2688000,0.0,0.0,0.41173112,0.0,0.9788844,0.0,0.0,0.20441452,0.0,0.0,-0.08,1,0,0,0,0,0
2788000,0.0,0.0,0.41152275,0.0,0.97890574,0.0,0.0,0.20431253,0.0,0.0,-0.08,1,0,0,0,0,0
2884000,0.0,0.0,0.4110517,0.0,0.9789538,0.0,0.0,0.20408197,0.0,0.0,-0.08,1,0,0,0,0,0
2988000,0.0,0.0,0.41068175,0.0,0.9789915,0.0,0.0,0.20390089,0.0,0.0,-0.08,1,0,0,0,0,0
3088000,0.0,0.0,0.410331,0.0,0.9790273,0.0,0.0,0.2037292,0.0,0.0,-0.08,1,0,0,0,0,0
3192000,0.0,0.0,0.41017064,0.0,0.9790436,0.0,0.0,0.2036507,0.0,0.0,-0.08,1,0,0,0,0,0
3288000,0.0,0.0,0.41019654,0.0,0.979041,0.0,0.0,0.20366338,0.0,0.0,-0.08,1,0,0,0,0,0
