timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2132000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2228000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2328000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2428000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2528000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2628000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2728000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2828000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2928000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3032000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3128000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3228000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3328000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3432000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3528000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3628000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3732000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3828000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3928000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4031999,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4135999,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4236000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4336000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4436000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4536000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4636000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4736000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4836000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4936000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5036000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5136000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5236000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5340000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5436000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5536000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5636000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5740000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5836000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5936000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6040000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6136000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6240000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6336000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6436000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6536000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6636000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6736000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6840000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6936000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7036000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7136000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7236000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7336000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7436000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7540000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7636000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7736000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7836000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7936000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8035999,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8136000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8236000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8339999,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8440000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8540000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8640000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8744000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8840000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8944000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9040000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9140000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9240000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9340000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9440000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9540000,6,900.0,900.0,900.0,900.0,900.0,900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
