timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1176000,487.648,32.0,95603.21,1.1359243
1916000,487.58722,32.0,95603.914,1.1359327
1924000,487.53174,32.0,95604.56,1.1359403
1936000,487.611,32.0,95603.64,1.1359293
1944000,487.7167,32.0,95602.43,1.135915
1956000,487.48947,32.0,95605.055,1.1359462
1964000,487.5423,32.0,95604.445,1.135939
1976000,487.52646,32.0,95604.6,1.1359408
1984000,487.63214,32.0,95603.42,1.1359268
1996000,487.52646,32.0,95604.62,1.135941
2004000,487.57666,32.0,95604.055,1.1359344
2016000,487.5529,32.0,95604.31,1.1359373
2024000,487.69293,32.0,95602.72,1.1359185
2036000,487.57928,32.0,95604.0,1.1359336
2044000,487.5423,32.0,95604.45,1.135939
2056000,487.43396,32.0,95605.67,1.1359535
2064000,487.648,32.0,95603.22,1.1359243
2076000,487.7854,32.0,95601.65,1.1359057
2084000,487.52646,32.0,95604.62,1.135941
2096000,487.68234,32.0,95602.83,1.1359197
2104000,487.63214,32.0,95603.414,1.1359267
2116000,487.78275,32.0,95601.67,1.135906
2124000,487.5053,32.0,95604.85,1.1359438
2136000,487.71405,32.0,95602.484,1.1359156
2144000,487.70084,32.0,95602.61,1.1359172
2156000,487.58987,32.0,95603.875,1.1359322
2164000,487.7986,32.0,95601.49,1.1359038
2176000,487.55023,32.0,95604.336,1.1359377
2184000,487.67178,32.0,95602.96,1.1359214
2196000,487.73254,32.0,95602.25,1.1359129
2204000,487.65857,32.0,95603.11,1.1359231
2216000,487.7035,32.0,95602.57,1.1359167
2224000,487.5238,32.0,95604.65,1.1359414
2236000,487.60043,32.0,95603.78,1.135931
2244000,487.41547,32.0,95605.9,1.1359563
2256000,487.4604,32.0,95605.37,1.13595
2264000,487.52908,32.0,95604.59,1.1359407
2276000,487.685,32.0,95602.79,1.1359193
2284000,487.5555,32.0,95604.3,1.1359372
2296000,487.6665,32.0,95603.0,1.1359218
2304000,487.68762,32.0,95602.766,1.135919
2316000,487.79333,32.0,95601.56,1.1359047
2324000,487.60837,32.0,95603.695,1.1359301
2336000,487.65063,32.0,95603.195,1.1359241
2344000,487.75635,32.0,95601.99,1.1359098
2356000,487.47095,32.0,95605.24,1.1359484
2364000,487.60837,32.0,95603.695,1.1359301
2376000,487.62952,32.0,95603.445,1.1359271
2384000,487.66122,32.0,95603.086,1.1359228
2396000,487.6559,32.0,95603.14,1.1359235
2404000,487.52646,32.0,95604.61,1.1359409
