timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
141880000,-0.0,-0.0,0.0,2.0,nan,nan,nan,530,1,1,1,1,0,0
141880000,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
142300000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,255,0,0,1
182248000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
188912000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
227156000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
267924000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
309196000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
350188000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
392244000,0.0,0.0,4.658557,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
396740000,nan,nan,-1.0,1.0,0.0,nan,nan,192,1,1,255,0,0,1
396748000,nan,nan,-1.0,1.0,0.0,nan,497.971,192,1,1,255,0,0,1
396780000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
412000000,0.0,0.0,157.0,4.0,4.0,0.0,0.0,176,1,0,255,0,1,1
412012000,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
419960000,0.0,0.0,157.0,4.0,5.0,0.0,0.0,176,1,0,255,0,1,1
419964000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
496960000,0.0,0.0,0.0,2.0,50.0,nan,488.0044,0,1,1,1,1,0,0
