timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
1072000,inf,1,0,0,0,0
2072000,inf,1,0,0,0,0
3088000,inf,1,0,0,0,0
4100000,inf,1,0,0,0,0
5108000,inf,1,0,0,0,0
6108000,inf,1,0,0,0,0
7124000,inf,1,0,0,0,0
8128000,inf,1,0,0,0,0
9128000,inf,1,0,0,0,0
10128000,inf,1,0,0,0,0
11128000,inf,1,0,0,0,0
12128000,inf,1,0,0,0,0
13136000,inf,1,0,0,0,0
14144000,inf,1,0,0,0,0
15164000,inf,1,0,0,0,0
16164000,inf,1,0,0,0,0
17180000,inf,1,0,0,0,0
18180000,inf,1,0,0,0,0
19180000,inf,1,0,0,0,0
20180000,inf,1,0,0,0,0
21180000,inf,1,0,0,0,0
22180000,inf,1,0,0,0,0
23180000,inf,1,0,0,0,0
24180000,inf,1,0,0,0,0
25180000,inf,1,0,0,0,0
26180000,inf,1,0,0,0,0
27180000,inf,1,0,0,0,0
28180000,inf,1,0,0,0,0
29180000,inf,1,0,0,0,0
30180000,inf,1,0,0,0,0
31180000,inf,1,0,0,0,0
32196000,inf,1,0,0,0,0
33196000,inf,1,0,0,0,0
34200000,inf,1,0,0,0,0
35220000,inf,1,0,0,0,0
36236000,inf,1,0,0,0,0
37236000,inf,1,0,0,0,0
38236000,inf,1,0,0,0,0
39252000,inf,1,0,0,0,0
40252000,inf,1,0,0,0,0
41252000,inf,1,0,0,0,0
42268000,inf,1,0,0,0,0
43268000,inf,1,0,0,0,0
44268000,inf,1,0,0,0,0
45284000,inf,1,0,0,0,0
46284000,inf,1,0,0,0,0
47284000,inf,1,0,0,0,0
48300000,inf,1,0,0,0,0
49300000,inf,1,0,0,0,0
50300000,inf,1,0,0,0,0
51316000,inf,1,0,0,0,0
52316000,inf,1,0,0,0,0
53316000,inf,1,0,0,0,0
54332000,inf,1,0,0,0,0
55332000,inf,1,0,0,0,0
56332000,inf,1,0,0,0,0
57348000,inf,1,0,0,0,0
58348000,inf,1,0,0,0,0
59348000,inf,1,0,0,0,0
60364000,inf,1,0,0,0,0
61364000,inf,1,0,0,0,0
62364000,inf,1,0,0,0,0
63380000,inf,1,0,0,0,0
64392000,inf,1,0,0,0,0
65392000,inf,1,0,0,0,0
66392000,inf,1,0,0,0,0
67400000,inf,1,0,0,0,0
68400000,inf,1,0,0,0,0
69416000,inf,1,0,0,0,0
70416000,inf,1,0,0,0,0
71416000,inf,1,0,0,0,0
72432000,inf,1,0,0,0,0
73432000,inf,1,0,0,0,0
74432000,inf,1,0,0,0,0
75448000,inf,1,0,0,0,0
76448000,inf,1,0,0,0,0
77448000,inf,1,0,0,0,0
78464000,inf,1,0,0,0,0
79464000,inf,1,0,0,0,0
80464000,inf,1,0,0,0,0
81480000,inf,1,0,0,0,0
82480000,inf,1,0,0,0,0
83480000,inf,1,0,0,0,0
84496000,inf,1,0,0,0,0
85508000,inf,1,0,0,0,0
86508000,inf,1,0,0,0,0
87508000,inf,1,0,0,0,0
88508000,inf,1,0,0,0,0
89508000,inf,1,0,0,0,0
90508000,inf,1,0,0,0,0
91508000,inf,1,0,0,0,0
92508000,inf,1,0,0,0,0
93508000,inf,1,0,0,0,0
94508000,inf,1,0,0,0,0
95508000,inf,1,0,0,0,0
96508000,inf,1,0,0,0,0
97508000,inf,1,0,0,0,0
98508000,inf,1,0,0,0,0
99508000,inf,1,0,0,0,0
100508000,inf,1,0,0,0,0
101508000,inf,1,0,0,0,0
102508000,inf,1,0,0,0,0
103508000,inf,1,0,0,0,0
104508000,inf,1,0,0,0,0
105508000,inf,1,0,0,0,0
106508000,inf,1,0,0,0,0
107508000,inf,1,0,0,0,0
108508000,inf,1,0,0,0,0
109508000,inf,1,0,0,0,0
110508000,inf,1,0,0,0,0
111508000,inf,1,0,0,0,0
112508000,inf,1,0,0,0,0
113508000,inf,1,0,0,0,0
114508000,inf,1,0,0,0,0
115508000,inf,1,0,0,0,0
116508000,inf,1,0,0,0,0
117508000,inf,1,0,0,0,0
118508000,inf,1,0,0,0,0
119508000,inf,1,0,0,0,0
120508000,inf,1,0,0,0,0
121508000,inf,1,0,0,0,0
122508000,inf,1,0,0,0,0
123508000,inf,1,0,0,0,0
124508000,inf,1,0,0,0,0
125508000,inf,1,0,0,0,0
126508000,inf,1,0,0,0,0
127508000,inf,1,0,0,0,0
128516000,inf,1,0,0,0,0
129528000,inf,1,0,0,0,0
130528000,inf,1,0,0,0,0
131528000,inf,1,0,0,0,0
132528000,inf,1,0,0,0,0
133528000,inf,1,0,0,0,0
134532000,inf,1,0,0,0,0
135532000,inf,1,0,0,0,0
136532000,inf,1,0,0,0,0
137532000,inf,1,0,0,0,0
138532000,inf,1,0,0,0,0
139532000,inf,1,0,0,0,0
140532000,inf,1,0,0,0,0
141532000,inf,1,0,0,0,0
142380000,inf,0,0,0,0,0
143380000,inf,0,0,0,0,0
144380000,inf,0,0,0,0,0
145380000,inf,0,0,0,0,0
146380000,inf,0,0,0,0,0
147380000,inf,0,0,0,0,0
148380000,inf,0,0,0,0,0
149380000,inf,0,0,0,0,0
150380000,inf,0,0,0,0,0
151380000,inf,0,0,0,0,0
152380000,inf,0,0,0,0,0
153380000,inf,0,0,0,0,0
154380000,inf,0,0,0,0,0
155380000,inf,0,0,0,0,0
156380000,inf,0,0,0,0,0
157380000,inf,0,0,0,0,0
158380000,inf,0,0,0,0,0
159380000,inf,0,0,0,0,0
160380000,inf,0,0,0,0,0
161380000,inf,0,0,0,0,0
