timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,arspd_check_level,load_factor_ratio,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,aspd_check_failing,aspd_fault_declared,aspd_use_inhibit,aspd_fail_rtl
996000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2004000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2328000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
3324000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
3816000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
4824000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
5016000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
6024000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
7032000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
8040000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
9048000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
10056000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
11064000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
11412000,262191,2097167,262191,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12156000,262191,2097167,2359343,0.0,0.0,0,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12168000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
13176000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14184000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15192000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16200000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17208000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18216000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
19224000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20232000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21240000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22248000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23256000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24264000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
25272000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
26280000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
27288000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28296000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
29304000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30312000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31320000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
32328000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33336000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
34344000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35352000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36360000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
37368000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38376000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
39384000,262191,2097167,2359343,0.0,0.0,4,1,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
